Dateiart,Datenformate,Bemerkungen,Quellen,Quellen zur Ampel,Ampel,Extensions,,,Legende,,,,Definition
Text, XML 1.1 (Extensible Markup Language),ETH Zürich (2025) : inklusive XSD/XSL/XHTML etc.; wobei Schema und Buchstabenkodierung explizit im File angegeben werden sollen,"ETH Zürich (2025): https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate, NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate",Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.xml,,,,Empfohlen/Geeignet für Lanzeitarchivierung,,,Aufbewahrung für von mehr als zehn Jahren
,JSON (JavaScript Object Notation),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.json,,,,Nicht geeignet bzw. nicht empfohlen,,,Nicht empfohlen für Langzeitarchivierung
,CSV (Comma-Separated Values),"Typ ""Tabelle""",Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social,,.csv,,,,Bedingt geeignet,,,Aufbewahrung bzw. Nutzung für höchstens zehn Jahre
,TXT (Codierung UTF-8) Textdatei ,,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.txt,,,,,,,
,PDF A (Portable Document Format A),HI: Priorisiertes Datenformat für Langzeitarchivierung,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,Herder-Institut Marburg: https://zenodo.org/records/18389872,,.pdf,,,,,,,
,OOXML (Office Open Extensible Markup Language),,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,Herder-Institut Marburg: https://zenodo.org/records/18389871,,".docx, .docm, .pptx, .pptm, .xlsx, .xlsm",,,,,,,
,PDF/A-3 (*.pdf),,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,Schweizerisches Bundesarchiv (BAR): https://www.bar.admin.ch/dam/bar/de/dokumente/konzepte_und_weisungen/archivtaugliche_dateiformate.1.pdf.download.pdf/archivtaugliche_dateiformate.pdf,,.pdf,,,,,,,
,RTF (Rich Text Format),,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,,.rtf,,,,,,,
,"XML mit DTD-Datei pder XML-Schema, JSON, HTML",,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,,,,,,,,
,"Textdateien, UTF-8 ohne BOM kodiert (je nach inhalt .txt, ac, xml, etc.)",,ETH Zürich: https://unlimited.ethz.ch/spaces/DD/pages/194127898/Archivtaugliche+Dateiformate,Herder-Institut Marburg: https://zenodo.org/records/18389871,,.html,,,,,,,
,"*.odm, *.odt, *.odg, *.odc, *.odf (OpenDocument Formate)",ETH Zürich (2025):Bedingt geeignet,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,Herder-Institut Marburg: https://zenodo.org/records/18389871,,"*.odm, *.odt, *.odg, *.odc, *.odf",,,,,,,
,JSON LD (JavaScript Object Notation for Linked Data),,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,.jsonld,,,,,,,
,RDFa (Resource Description Framework in Attributes),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,.rdf,,,,,,,
